date,panchayat_id,panchayat_name,rain_mm,tmax_c,tmin_c
2024-01-01,A1,ADHATA,0.0,24.7,14.4
2024-01-02,A1,ADHATA,0.0,22.9,13.1
2024-01-03,A1,ADHATA,0.0,24.3,12.2
2024-01-04,A1,ADHATA,0.0,25.0,12.0
2024-01-05,A1,ADHATA,0.0,25.5,13.0
2024-01-06,A1,ADHATA,0.0,26.2,12.9
2024-01-07,A1,ADHATA,0.0,25.8,14.9
2024-01-08,A1,ADHATA,0.0,25.5,15.4
2024-01-09,A1,ADHATA,0.0,24.9,13.3
2024-01-10,A1,ADHATA,0.0,25.5,12.7
2024-01-11,A1,ADHATA,0.0,24.6,13.0
2024-01-12,A1,ADHATA,0.0,22.4,10.8
2024-01-13,A1,ADHATA,0.0,22.4,10.2
2024-01-14,A1,ADHATA,0.0,21.9,10.4
2024-01-15,A1,ADHATA,0.0,21.6,10.4
2024-01-16,A1,ADHATA,0.0,21.8,10.3
2024-01-17,A1,ADHATA,0.1,23.1,9.9
2024-01-18,A1,ADHATA,7.1,22.3,14.9
2024-01-19,A1,ADHATA,0.0,22.9,14.7
2024-01-20,A1,ADHATA,0.0,22.3,12.3
2024-01-21,A1,ADHATA,0.0,22.6,12.9
2024-01-22,A1,ADHATA,0.0,20.8,10.6
2024-01-23,A1,ADHATA,0.0,22.1,9.2
2024-01-24,A1,ADHATA,3.2,21.5,15.1
2024-01-25,A1,ADHATA,0.0,22.7,13.0
2024-01-26,A1,ADHATA,0.0,22.6,12.5
2024-01-27,A1,ADHATA,0.0,22.6,11.0
2024-01-28,A1,ADHATA,0.0,23.1,10.0
2024-01-29,A1,ADHATA,0.0,24.4,10.4
2024-01-30,A1,ADHATA,0.9,26.0,12.8
2024-01-31,A1,ADHATA,14.2,24.9,17.4
2024-02-01,A1,ADHATA,4.0,24.4,16.1
2024-02-02,A1,ADHATA,0.5,26.3,16.5
2024-02-03,A1,ADHATA,0.0,25.5,14.9
2024-02-04,A1,ADHATA,0.0,25.9,12.5
2024-02-05,A1,ADHATA,0.0,26.7,14.6
2024-02-06,A1,ADHATA,1.3,26.7,17.6
2024-02-07,A1,ADHATA,0.0,25.2,17.2
2024-02-08,A1,ADHATA,0.0,24.3,13.9
2024-02-09,A1,ADHATA,0.0,22.8,12.8
2024-02-10,A1,ADHATA,0.0,24.5,11.2
2024-02-11,A1,ADHATA,0.0,26.3,12.0
2024-02-12,A1,ADHATA,0.0,27.1,13.8
2024-02-13,A1,ADHATA,0.0,28.7,16.8
2024-02-14,A1,ADHATA,0.0,28.1,15.8
2024-02-15,A1,ADHATA,0.6,27.5,17.1
2024-02-16,A1,ADHATA,0.0,28.5,17.4
2024-02-17,A1,ADHATA,0.0,27.5,15.2
2024-02-18,A1,ADHATA,0.2,28.4,15.7
2024-02-19,A1,ADHATA,0.2,29.2,18.0
2024-02-20,A1,ADHATA,0.8,31.0,20.8
2024-02-21,A1,ADHATA,0.0,32.5,20.6
