gp_code,panchayat_id,elevation_dem_m,slope_deg,aspect_sin,aspect_cos,terrain_roughness_m,relative_elevation_m,nearest_river,distance_to_river_m,sand_pct,clay_pct,silt_pct,soil_type
107001,WB_107001,171.54,0.67,-0.949,0.3154,2.51,0.93,Torsa,23762.444944707964,44.1,27.69,28.21,non_sandy
107002,WB_107002,170.84,0.68,0.9833,0.182,2.64,0.23,Torsa,21284.19640477241,44.17,27.67,28.16,non_sandy
107003,WB_107003,171.57,0.68,-0.5932,0.8051,2.47,0.96,Torsa,23541.83174030635,44.07,27.71,28.22,non_sandy
107004,WB_107004,171.01,0.67,-0.3179,0.9481,2.54,0.4,Torsa,23827.625617836526,44.13,27.66,28.21,non_sandy
107005,WB_107005,170.41,0.68,0.9355,0.3534,2.67,-0.2,Torsa,20092.88544235918,44.18,27.68,28.14,non_sandy
107006,WB_107006,170.38,0.68,-0.9831,0.1832,2.52,-0.23,Torsa,25931.74045992733,44.02,27.71,28.27,non_sandy
107007,WB_107007,170.12,0.68,0.9732,0.2301,2.66,-0.49,Torsa,21038.279681618544,44.22,27.64,28.14,non_sandy
107008,WB_107008,171.24,0.66,0.2629,0.9648,2.46,0.63,Torsa,21939.011594769097,44.09,27.72,28.19,non_sandy
107009,WB_107009,170.11,0.68,-0.7269,0.6868,2.51,-0.5,Teesta,25609.69839109065,44.06,27.68,28.26,non_sandy
107010,WB_107010,169.02,0.69,0.9637,0.267,2.64,-1.59,Torsa,18517.536303768666,44.25,27.65,28.1,non_sandy
107011,WB_107011,170.51,0.68,-0.975,0.222,2.52,-0.1,Torsa,25699.499622837287,43.99,27.74,28.27,non_sandy
107012,WB_107012,170.21,0.68,-0.6719,0.7407,2.55,-0.74,Torsa,8459.227331969727,44.35,27.72,27.93,non_sandy
107013,WB_107013,170.15,0.69,0.5114,0.8593,2.55,-0.8,Torsa,10780.31651557305,44.3,27.72,27.98,non_sandy
107014,WB_107014,170.7,0.69,-0.8006,0.5992,2.67,-0.25,Torsa,7199.410975625481,44.41,27.69,27.9,non_sandy
107015,WB_107015,170.66,0.67,0.1221,0.9925,2.53,-0.29,Torsa,9737.79125278531,44.29,27.74,27.97,non_sandy
107016,WB_107016,169.93,0.68,0.4106,0.9118,2.51,-1.02,Torsa,10478.370093417996,44.34,27.69,27.97,non_sandy
107017,WB_107017,171.66,0.69,-0.8237,0.5671,2.62,0.71,Torsa,5951.998869915676,44.41,27.7,27.89,non_sandy
107018,WB_107018,171.48,0.69,0.6085,0.7935,2.55,0.53,Torsa,12391.016222288867,44.23,27.75,28.02,non_sandy
107019,WB_107019,170.6,0.68,-0.7978,0.6029,2.68,-0.35,Torsa,7489.762623425414,44.44,27.67,27.89,non_sandy
107020,WB_107020,171.4,0.68,-0.6136,0.7896,2.55,0.45,Torsa,7807.286074247641,44.32,27.74,27.94,non_sandy
107021,WB_107021,171.18,0.67,0.9927,-0.1204,2.51,0.23,Torsa,12860.571418720994,44.27,27.71,28.02,non_sandy
107022,WB_107022,172.49,0.7,-0.8367,0.5477,2.62,1.54,Torsa,4611.037755399509,44.48,27.67,27.85,non_sandy
107023,WB_107023,173.74,0.67,0.9363,0.3511,2.44,0.66,Torsa,5401.152842422054,44.59,27.73,27.68,non_sandy
107024,WB_107024,173.77,0.67,-0.4704,-0.8825,2.44,0.69,Torsa,3820.3171022664064,44.52,27.76,27.72,non_sandy
107025,WB_107025,173.83,0.66,-0.9144,0.4048,2.47,0.75,Torsa,3744.298851222399,44.57,27.72,27.71,non_sandy
107026,WB_107026,173.08,0.68,0.9908,0.1356,2.59,-0.0,Torsa,6827.842207539972,44.61,27.74,27.65,non_sandy
107027,WB_107027,172.91,0.67,-0.9861,-0.1661,2.47,-0.17,Torsa,1593.9892821593066,44.47,27.77,27.76,non_sandy
107028,WB_107028,172.86,0.68,0.993,0.1177,2.59,-0.22,Torsa,6293.89955009829,44.65,27.7,27.65,non_sandy
107029,WB_107029,173.28,0.67,-0.5462,-0.8377,2.44,0.2,Torsa,5091.40828271016,44.53,27.77,27.7,non_sandy
107030,WB_107030,172.74,0.68,-0.8467,0.5321,2.47,-0.34,Torsa,1442.881907134676,44.51,27.73,27.76,non_sandy
107031,WB_107031,171.76,0.69,0.9972,0.0749,2.57,-1.32,Torsa,8597.817400849677,44.68,27.71,27.61,non_sandy
107032,WB_107032,172.91,0.67,-0.9968,-0.0794,2.47,-0.17,Torsa,1527.3681383927583,44.43,27.79,27.78,non_sandy
107033,WB_107033,173.04,0.67,0.212,0.9773,2.47,-0.04,Torsa,4530.624301238176,44.63,27.69,27.68,non_sandy
107034,WB_107034,172.89,0.69,-0.0619,0.9981,2.58,-0.46,Torsa,17899.354974654587,44.77,27.78,27.45,non_sandy
107035,WB_107035,172.25,0.69,0.1028,0.9947,2.53,-1.1,Torsa,17085.476763688584,44.78,27.76,27.46,non_sandy
107036,WB_107036,173.47,0.68,-0.7292,0.6843,2.64,0.12,Torsa,20218.18469603226,44.84,27.76,27.4,non_sandy
107037,WB_107037,173.49,0.68,0.3311,0.9436,2.61,0.14,Torsa,15735.968239106469,44.7,27.79,27.51,non_sandy
107038,WB_107038,172.46,0.69,-0.582,0.8132,2.65,-0.89,Torsa,19007.183452477697,44.85,27.73,27.42,non_sandy
107039,WB_107039,173.94,0.69,-0.1666,0.986,2.62,0.59,Torsa,19386.85758380263,44.78,27.79,27.43,non_sandy
107040,WB_107040,173.51,0.68,0.8155,0.5788,2.59,0.16,Torsa,14752.522066253337,44.71,27.77,27.52,non_sandy
107041,WB_107041,174.35,0.69,-0.9002,0.4355,2.64,1.0,Torsa,21708.785115406732,44.9,27.73,27.37,non_sandy
107042,WB_107042,174.09,0.68,0.2027,0.9792,2.54,0.74,Torsa,16039.784800941337,44.68,27.82,27.5,non_sandy
107043,WB_107043,172.18,0.68,0.2413,0.9705,2.53,-1.17,Torsa,17010.629923637603,44.82,27.73,27.45,non_sandy
107044,WB_107044,174.21,0.68,-0.7802,0.6255,2.64,0.86,Torsa,21854.338588568135,44.85,27.77,27.38,non_sandy
107045,WB_107045,176.23,0.67,-0.4268,-0.9044,2.44,0.8,Torsa,29313.945079047247,45.0,27.79,27.21,non_sandy
107046,WB_107046,175.67,0.68,0.9833,0.1823,2.51,0.24,Torsa,31342.811479107946,45.05,27.79,27.16,non_sandy
107047,WB_107047,175.6,0.67,-0.9021,-0.4315,2.52,0.17,Torsa,27647.35070467831,44.94,27.82,27.24,non_sandy
107048,WB_107048,176.06,0.68,0.5115,-0.8593,2.5,0.63,Torsa,30948.589319285027,45.06,27.76,27.18,non_sandy
107049,WB_107049,175.39,0.67,0.7245,-0.6892,2.5,-0.04,Torsa,30531.614859689093,45.01,27.81,27.18,non_sandy
107050,WB_107050,175.09,0.68,-1.0,-0.0065,2.54,-0.34,Torsa,26938.695313253837,44.94,27.8,27.26,non_sandy
107051,WB_107051,174.61,0.68,0.9666,0.2562,2.51,-0.82,Torsa,33283.870446854366,45.12,27.76,27.12,non_sandy
107052,WB_107052,175.3,0.67,-0.9718,-0.2357,2.5,-0.13,Torsa,27402.083396169233,44.91,27.84,27.25,non_sandy
107053,WB_107053,175.98,0.67,-0.5929,-0.8053,2.44,0.55,Torsa,29362.87086340006,45.03,27.76,27.21,non_sandy
107054,WB_107054,175.25,0.67,0.6289,-0.7775,2.5,-0.18,Torsa,32963.28939748043,45.08,27.79,27.13,non_sandy
107055,WB_107055,174.5,0.68,-0.9995,-0.0322,2.54,-0.93,Torsa,25165.289841934264,44.87,27.83,27.3,non_sandy
107056,WB_107056,175.24,0.7,0.3044,0.9526,2.65,-0.76,Torsa,39994.98728378307,45.21,27.82,26.97,non_sandy
107057,WB_107057,175.62,0.7,-0.2585,0.966,2.68,-0.38,Torsa,42529.986401866656,45.28,27.81,26.91,non_sandy
107058,WB_107058,176.26,0.69,0.3013,0.9535,2.67,0.26,Torsa,39345.150953372395,45.17,27.85,26.98,non_sandy
107059,WB_107059,174.55,0.7,0.0467,0.9989,2.53,-1.45,Torsa,40765.04911209331,45.25,27.8,26.95,non_sandy
107060,WB_107060,176.41,0.68,-0.188,0.9822,2.57,0.41,Torsa,42919.516000711315,45.27,27.82,26.91,non_sandy
107061,WB_107061,176.32,0.69,0.4123,0.911,2.67,0.32,Torsa,37487.07941874557,45.13,27.85,27.02,non_sandy
107062,WB_107062,175.73,0.68,-0.5235,0.852,2.59,-0.27,Torsa,43629.33406449326,45.33,27.78,26.89,non_sandy
107063,WB_107063,177.24,0.7,0.0374,0.9993,2.55,1.24,Torsa,40293.83306529635,45.17,27.86,26.97,non_sandy
107064,WB_107064,175.46,0.68,0.5188,0.8549,2.57,-0.54,Torsa,38556.71680514542,45.19,27.81,27.0,non_sandy
107065,WB_107065,176.71,0.69,-0.3111,0.9504,2.68,0.71,Torsa,45063.77541811384,45.34,27.8,26.86,non_sandy
107066,WB_107066,176.48,0.69,0.063,0.998,2.67,0.48,Torsa,36799.48614810579,45.09,27.87,27.04,non_sandy
107067,WB_107067,157.92,0.85,0.9484,-0.3172,3.55,1.16,Kangsabati,7836.779087661038,51.16,22.62,26.22,sandy
107068,WB_107068,158.47,0.85,0.3756,0.9268,3.65,1.71,Kangsabati,7752.52913953926,51.12,22.64,26.24,sandy
107069,WB_107069,157.05,0.78,-0.3092,0.951,3.64,0.29,Kangsabati,8734.639639538249,51.15,22.61,26.24,sandy
107070,WB_107070,156.02,0.84,0.976,-0.2177,3.55,-0.74,Kangsabati,7011.778765069439,51.16,22.63,26.21,sandy
107071,WB_107071,158.15,0.83,0.6197,0.7848,3.65,1.39,Kangsabati,8587.601554132361,51.1,22.64,26.26,sandy
107072,WB_107072,157.41,0.78,-0.5875,-0.8092,3.69,0.65,Kangsabati,8203.988882407364,51.19,22.6,26.21,sandy
107073,WB_107073,156.34,0.82,0.9434,-0.3315,3.59,-0.42,Kangsabati,6891.524971256516,51.13,22.65,26.22,sandy
107074,WB_107074,154.51,0.86,-0.5409,0.8411,3.64,-2.25,Kangsabati,9443.66987300306,51.12,22.62,26.26,sandy
107075,WB_107075,155.01,0.84,0.9872,-0.1595,3.55,-1.75,Kangsabati,6927.714859364551,51.2,22.61,26.19,sandy
107076,WB_107076,103.34,1.36,0.7704,-0.6375,6.25,-2.68,Kangsabati,1750.603944132303,51.2,22.66,26.14,sandy
107077,WB_107077,106.86,1.41,0.7545,-0.6563,7.66,0.84,Kangsabati,1980.4298828246597,51.17,22.68,26.15,sandy
107078,WB_107078,112.88,1.41,0.7843,-0.6204,7.42,6.86,Kangsabati,2589.3005019348257,51.21,22.65,26.14,sandy
107079,WB_107079,95.81,1.37,0.7659,-0.643,6.25,-10.21,Kangsabati,996.9492336636175,51.2,22.67,26.13,sandy
107080,WB_107080,117.78,1.41,0.7741,-0.6331,7.66,11.76,Kangsabati,2882.293037655068,51.16,22.67,26.17,sandy
107081,WB_107081,103.15,1.4,0.7976,-0.6032,7.9,-2.87,Kangsabati,1814.5966325303875,51.24,22.64,26.12,sandy
107082,WB_107082,99.12,1.39,0.7585,-0.6517,7.3,-6.9,Kangsabati,1232.573629749786,51.16,22.69,26.15,sandy
107083,WB_107083,123.48,1.43,0.7741,-0.633,7.42,17.46,Kangsabati,3428.060441125666,51.19,22.65,26.16,sandy
107084,WB_107084,91.77,1.35,0.7597,-0.6502,6.25,-14.25,Kangsabati,631.5215661368261,51.23,22.66,26.11,sandy
