gp_code,panchayat_id,panchayat_name,block_name,district_name,latitude,longitude
107001,WB_107001,Banchukamari,Alipurduar-I,Alipurduar,26.52742547,89.49695618
107002,WB_107002,Chakowakheti,Alipurduar-I,Alipurduar,26.54234387,89.38015858
107003,WB_107003,Mathura,Alipurduar-I,Alipurduar,26.52619184,89.40695687
107004,WB_107004,Pararpar,Alipurduar-I,Alipurduar,26.50928906,89.47759456
107005,WB_107005,Patlakhawa,Alipurduar-I,Alipurduar,26.52045299,89.35011466
107006,WB_107006,Purbakathalbari,Alipurduar-I,Alipurduar,26.5142686,89.32557518
107007,WB_107007,Salkumar-I,Alipurduar-I,Alipurduar,26.55822204,89.32030793
107008,WB_107008,Salkumar-II,Alipurduar-I,Alipurduar,26.55439842,89.32457943
107009,WB_107009,Tapshikhata,Alipurduar-I,Alipurduar,26.57779339,89.44159632
107010,WB_107010,Vivekananda-I,Alipurduar-I,Alipurduar,26.57037333,89.41149618
107011,WB_107011,Vivekananda-II,Alipurduar-I,Alipurduar,26.57732018,89.4105412
107012,WB_107012,Bhatibari,Alipurduar-II,Alipurduar,26.43973726,89.61543557
107013,WB_107013,Chaparerpar-I,Alipurduar-II,Alipurduar,26.5188617,89.48894777
107014,WB_107014,Chaparerpar-II,Alipurduar-II,Alipurduar,26.515041,89.48467447
107015,WB_107015,Kohinoor,Alipurduar-II,Alipurduar,26.56511235,89.69909009
107016,WB_107016,Mahakalguri,Alipurduar-II,Alipurduar,26.54758088,89.69126315
107017,WB_107017,Majherdabri,Alipurduar-II,Alipurduar,26.51411484,89.64770783
107018,WB_107018,Parokata,Alipurduar-II,Alipurduar,26.50561627,89.64692826
107019,WB_107019,Samuktala,Alipurduar-II,Alipurduar,26.55411151,89.6770521
107020,WB_107020,TATPARA II,Alipurduar-II,Alipurduar,26.50589149,89.61606705
107021,WB_107021,Tatpara-I,Alipurduar-II,Alipurduar,26.50971508,89.61179746
107022,WB_107022,Turturi,Alipurduar-II,Alipurduar,26.63535182,89.69805453
107023,WB_107023,Dalgaon,Falakata,Alipurduar,26.67578552,89.16788644
107024,WB_107024,Deogaon,Falakata,Alipurduar,26.620142,89.1906559
107025,WB_107025,Dhanirampur-I,Falakata,Alipurduar,26.62845051,89.06309404
107026,WB_107026,Dhanirampur-II,Falakata,Alipurduar,26.62462683,89.0673681
107027,WB_107027,Falakata-I,Falakata,Alipurduar,26.52229902,89.19583854
107028,WB_107028,Falakata-II,Falakata,Alipurduar,26.52612267,89.19156841
107029,WB_107029,Guabarnagar,Falakata,Alipurduar,26.59642079,89.13474605
107030,WB_107030,Jateswar-I,Falakata,Alipurduar,26.60343443,89.15001732
107031,WB_107031,Jateswar-II,Falakata,Alipurduar,26.60725522,89.15429368
107032,WB_107032,Mairadanga,Falakata,Alipurduar,26.58129416,89.23618697
107033,WB_107033,Parangepar,Falakata,Alipurduar,26.5386053,89.19631149
107034,WB_107034,Chuapara,Kalchini,Alipurduar,26.74583508,89.4263365
107035,WB_107035,Dalsingpara,Kalchini,Alipurduar,26.78889531,89.36835168
107036,WB_107036,Garopara,Kalchini,Alipurduar,26.62988718,89.469064
107037,WB_107037,Jaigaon-I,Kalchini,Alipurduar,26.62640193,89.47986468
107038,WB_107038,Jaigaon-II,Kalchini,Alipurduar,26.62804787,89.49329757
107039,WB_107039,Kalchini,Kalchini,Alipurduar,26.70188214,89.45657122
107040,WB_107040,Latabari,Kalchini,Alipurduar,26.649707,89.47914384
107041,WB_107041,Malangi,Kalchini,Alipurduar,26.74360289,89.35660789
107042,WB_107042,Mendabari,Kalchini,Alipurduar,26.66372173,89.48474454
107043,WB_107043,Rajabhatkhawa,Kalchini,Alipurduar,26.67017738,89.49773955
107044,WB_107044,Satali,Kalchini,Alipurduar,26.6572257,89.41985291
107045,WB_107045,Chengmari,Kumargram,Alipurduar,26.58641087,89.8222194
107046,WB_107046,Kamakhyaguri No. - I,Kumargram,Alipurduar,26.55306033,89.73575589
107047,WB_107047,Kamakhyaguri No. - II,Kumargram,Alipurduar,26.55220616,89.72799032
107048,WB_107048,Khoardanga No-I,Kumargram,Alipurduar,26.54669,89.72072132
107049,WB_107049,Khoardanga No-II,Kumargram,Alipurduar,26.53703672,89.71682531
107050,WB_107050,Kumargram,Kumargram,Alipurduar,26.61494309,89.82386808
107051,WB_107051,Newlands Kumargram Sankosh,Kumargram,Alipurduar,26.66489755,89.80222587
107052,WB_107052,Rydak,Kumargram,Alipurduar,26.53768099,89.742877
107053,WB_107053,Turturi Khanda,Kumargram,Alipurduar,26.6885754,89.74191328
107054,WB_107054,Volka Barobisha No-I,Kumargram,Alipurduar,26.53267527,89.75854343
107055,WB_107055,Volka Barobisha No-II,Kumargram,Alipurduar,26.53703672,89.76892869
107056,WB_107056,Bandapani,Madarihat Birpara,Alipurduar,26.78656899,89.15089852
107057,WB_107057,Birpara-I,Madarihat Birpara,Alipurduar,26.71256038,89.14086363
107058,WB_107058,Birpara-II,Madarihat Birpara,Alipurduar,26.70873968,89.13658309
107059,WB_107059,Hantapara,Madarihat Birpara,Alipurduar,26.71686918,89.19523073
107060,WB_107060,Khairbari,Madarihat Birpara,Alipurduar,26.65508619,89.23653008
107061,WB_107061,Lankapara,Madarihat Birpara,Alipurduar,26.80700604,89.25889446
107062,WB_107062,Madarihat,Madarihat Birpara,Alipurduar,26.72521113,89.16481099
107063,WB_107063,Rangalibazna,Madarihat Birpara,Alipurduar,26.71734239,89.15178819
107064,WB_107064,Sishujhumra,Madarihat Birpara,Alipurduar,26.703552,89.1789714
107065,WB_107065,Totopara-Ballalguri,Madarihat Birpara,Alipurduar,26.82829755,89.32397828
107066,WB_107066,Shalkumar,Madarihat Birpara,Alipurduar,26.68953727,89.17336805
107067,WB_107067,ANCHURI,Bankura-I,Bankura,23.19887393,86.98020769
107068,WB_107068,ANDARTHOLE,Bankura-I,Bankura,23.19154837,86.990712
107069,WB_107069,JAGDALLA-I,Bankura-I,Bankura,23.18888604,87.00571815
107070,WB_107070,JAGDALLA-II,Bankura-I,Bankura,23.21580867,86.99764394
107071,WB_107071,KALPATHAR,Bankura-I,Bankura,23.11512843,86.93512015
107072,WB_107072,KENJAKURA,Bankura-I,Bankura,23.27198842,86.91897213
107073,WB_107073,PAKHANNA,Bankura-I,Bankura,23.23183228,87.01607164
107074,WB_107074,SAHARJORA,Bankura-I,Bankura,23.24383813,87.01428059
107075,WB_107075,METYALA,Bankura-I,Bankura,23.25547196,87.00571815
107076,WB_107076,Bikna,Bankura-II,Bankura,23.253626,87.09530683
107077,WB_107077,Junbedia,Bankura-II,Bankura,23.25337819,87.06765162
107078,WB_107078,Kostia,Bankura-II,Bankura,23.30582573,87.07670877
107079,WB_107079,Mankanali,Bankura-II,Bankura,23.32085059,87.041266
107080,WB_107080,Narrah,Bankura-II,Bankura,23.25655001,87.13789762
107081,WB_107081,Purandarpur,Bankura-II,Bankura,23.29152823,87.08655799
107082,WB_107082,Sanbandha,Bankura-II,Bankura,23.23114895,87.09210543
107083,WB_107083,SALDIHA,Bankura-II,Bankura,23.27849382,87.0859614
107084,WB_107084,SUSUNIA,Bankura-II,Bankura,23.27199118,87.091967
107085,WB_107085,AJODHYA,Bishnupur,Bankura,22.32861515,88.26912288
107086,WB_107086,BANKADAHA,Bishnupur,Bankura,22.35784487,88.34186432
107087,WB_107087,BELSULIA,Bishnupur,Bankura,22.36571361,88.35444575
107088,WB_107088,BHARA,Bishnupur,Bankura,22.379504,88.32818382
107089,WB_107089,D-GOSSAINPUR,Bishnupur,Bankura,22.38502016,88.3328429
107090,WB_107090,LAYEKBANDH,Bishnupur,Bankura,22.39351873,88.33359726
107091,WB_107091,Morar,Bishnupur,Bankura,22.40280907,88.32888056
107092,WB_107092,RADHANAGAR,Bishnupur,Bankura,22.37501392,88.40197768
107093,WB_107093,ULIARA,Bishnupur,Bankura,22.41279696,88.30352734
107094,WB_107094,BARJORA,Borjora,Bankura,23.42511661,87.28132784
107095,WB_107095,BELIATORE,Borjora,Bankura,23.36858738,87.31350483
107096,WB_107096,BRINDABANPUR,Borjora,Bankura,23.31241632,87.27891153
107097,WB_107097,CHHANDAR,Borjora,Bankura,23.31093913,87.25494689
107098,WB_107098,GHUTGARIYA,Borjora,Bankura,23.43983587,87.25419888
107099,WB_107099,GODARDIHI,Borjora,Bankura,23.33746104,87.22562908
107100,WB_107100,HAT-ASHURIYA,Borjora,Bankura,23.40307996,87.30581021
107101,WB_107101,KHANRARI,Borjora,Bankura,23.38097947,87.23740816
107102,WB_107102,MALIARA,Borjora,Bankura,23.47573425,87.22384432
107103,WB_107103,ARRAH,Chhatna,Bankura,23.29840472,86.92727398
107104,WB_107104,CHHATNA-I,Chhatna,Bankura,23.48400623,87.02148548
107105,WB_107105,CHHATNA-II,Chhatna,Bankura,23.48018553,87.01731647
107106,WB_107106,CHINABARI,Chhatna,Bankura,23.31390005,86.83653982
107107,WB_107107,DHABAN,Chhatna,Bankura,23.46945576,86.89636924
107108,WB_107108,GHOSERGRAM,Chhatna,Bankura,23.32787782,86.901898
107109,WB_107109,JAMTORA,Chhatna,Bankura,23.33136307,86.89138692
107110,WB_107110,JHUNJKA,Chhatna,Bankura,23.35759184,86.97802506
107111,WB_107111,JIRRAH,Chhatna,Bankura,23.4007338,86.91931972
107112,WB_107112,BANASHURIA,Gangajalghati,Bankura,23.4690256,87.07948146
107113,WB_107113,BARSHAL,Gangajalghati,Bankura,23.40533284,87.1093682
107114,WB_107114,BHAKTABANDH,Gangajalghati,Bankura,23.37146714,87.05048182
107115,WB_107115,GANGAJALGHATI,Gangajalghati,Bankura,23.41765451,87.11457648
107116,WB_107116,GOBINDADHAM,Gangajalghati,Bankura,23.35315689,87.11213072
107117,WB_107117,KAPISTHA,Gangajalghati,Bankura,23.38745264,87.13477665
107118,WB_107118,LACHHMANPUR,Gangajalghati,Bankura,23.43398984,87.03221368
107119,WB_107119,LATIABONI,Gangajalghati,Bankura,23.44818537,87.14448644
107120,WB_107120,NITYANANDAPUR,Gangajalghati,Bankura,23.45717104,87.19681039
107121,WB_107121,BAHARAMURI,Hirbandh,Bankura,23.06157105,86.89186441
107122,WB_107122,GOPALPUR,Hirbandh,Bankura,23.11821641,86.74982671
107123,WB_107123,HIRBANDH,Hirbandh,Bankura,23.0611515,86.8178682
107124,WB_107124,MOLIAN,Hirbandh,Bankura,23.07338801,86.828988
107125,WB_107125,MOSHIARA,Hirbandh,Bankura,23.07769618,86.8229926
107126,WB_107126,TEGHORI,Hirbandh,Bankura,23.07839373,86.81375568
107127,WB_107127,PIRRABONI,Hirbandh,Bankura,23.03264913,86.95269583
107128,WB_107128,SAHASPUR,Hirbandh,Bankura,23.064379,86.7956962
107129,WB_107129,Onda - 1,Hirbandh,Bankura,23.05058861,86.79280257
107130,WB_107130,BHEDUASOLE,Indpur,Bankura,23.11753475,86.91274451
107131,WB_107131,BRAJARAJPUR,Indpur,Bankura,23.09706454,86.9309101
107132,WB_107132,BRAMHANDIHA,Indpur,Bankura,23.12380818,86.880844
107133,WB_107133,GOURBAZAR,Indpur,Bankura,23.12032293,86.89134214
107134,WB_107134,HATAGRAM,Indpur,Bankura,23.12196887,86.90439875
107135,WB_107135,INDPUR,Indpur,Bankura,23.16541347,86.93187366
107136,WB_107136,RAGHUNATHPUR,Indpur,Bankura,23.1519432,86.72288749
107137,WB_107137,Onda - 2,Indpur,Bankura,23.14914416,86.89532672
107138,WB_107138,Punisole,Indpur,Bankura,23.15764273,86.89608531
107139,WB_107139,AKUI-I,Indus,Bankura,23.09207848,87.72683551
107140,WB_107140,AKUI-II,Indus,Bankura,23.15656163,87.616051
107141,WB_107141,AMRUL,Indus,Bankura,23.12576784,87.57002415
107142,WB_107142,DEGHALGRAM,Indus,Bankura,23.13230133,87.60912405
107143,WB_107143,INDUS-I,Indus,Bankura,23.13138389,87.63082284
107144,WB_107144,INDUS-II,Indus,Bankura,23.13520754,87.62666808
107145,WB_107145,KARISUNDA,Indus,Bankura,23.11430702,87.5900196
107146,WB_107146,MANGALPUR,Indus,Bankura,23.07042907,87.68006598
107147,WB_107147,ROL,Indus,Bankura,23.1735199,87.65250656
107148,WB_107148,GELIA,Joypur,Bankura,23.05072646,87.51108348
107149,WB_107149,HETIA,Joypur,Bankura,23.08715142,87.49369768
107150,WB_107150,JAGANNATHPUR,Joypur,Bankura,22.95438112,87.43707279
107151,WB_107151,KUCHIAKOLE,Joypur,Bankura,23.01541324,87.46149194
107152,WB_107152,MOYNAPUR,Joypur,Bankura,23.034112,87.50460932
107153,WB_107153,ROUTHKHANDA,Joypur,Bankura,23.05172604,87.50335012
107154,WB_107154,SALDA,Joypur,Bankura,23.05034873,87.46229357
107155,WB_107155,SHYAMNAGAR,Joypur,Bankura,22.90153793,87.39554573
107156,WB_107156,UTTARBAR,Joypur,Bankura,22.96732603,87.5017863
107157,WB_107157,BAIDYANATHPUR,Khatra,Bankura,23.03414809,86.9272213
107158,WB_107158,DAHALA,Khatra,Bankura,23.01509113,86.85396053
107159,WB_107159,DHANARA,Khatra,Bankura,22.90885379,86.70383325
107160,WB_107160,GORABARI,Khatra,Bankura,22.95278783,86.77652863
107161,WB_107161,KHATRA-I,Khatra,Bankura,22.97349092,86.85697977
107162,WB_107162,KHATRA-II,Khatra,Bankura,22.97731457,86.85282988
107163,WB_107163,SUPUR,Khatra,Bankura,23.01886231,86.86698308
107164,WB_107164,Ramsagar,Khatra,Bankura,22.96280137,86.877489
107165,WB_107165,Ratanpur,Khatra,Bankura,23.04734699,86.92629145
107166,WB_107166,DESHRA-KOALPARA,Kotulpur,Bankura,22.94757765,87.62329449
107167,WB_107167,GOPINATHPUR,Kotulpur,Bankura,22.94451124,87.56667205
107168,WB_107168,KOTULPUR,Kotulpur,Bankura,23.02695958,87.6053531
107169,WB_107169,LEGO,Kotulpur,Bankura,22.99000558,87.5375278
107170,WB_107170,LOWGRAM,Kotulpur,Bankura,23.03581713,87.60331409
107171,WB_107171,MADANMOHANPUR,Kotulpur,Bankura,23.04560575,87.58034193
107172,WB_107172,MIRZAPUR,Kotulpur,Bankura,23.03152139,87.55139981
107173,WB_107173,SIHAR,Kotulpur,Bankura,22.93374007,87.60415231
107174,WB_107174,Santore,Kotulpur,Bankura,22.95340921,87.72096992
107175,WB_107175,ARDHAGRAM,Mejhia,Bankura,23.53837128,87.09343265
107176,WB_107176,BANJORA,Mejhia,Bankura,23.506931,87.22290828
107177,WB_107177,KUSTORE,Mejhia,Bankura,23.52066693,87.09165328
107178,WB_107178,MEJHIA,Mejhia,Bankura,23.54982129,87.12175685
107179,WB_107179,RAMCHANDRAPUR,Mejhia,Bankura,23.53290123,87.16319786
107180,WB_107180,NARAYANPUR,Mejhia,Bankura,23.46899546,87.03707584
107181,WB_107181,PATRASAYER,Mejhia,Bankura,23.50541293,87.12937962
107182,WB_107182,SHYAMSUNDARPUR,Mejhia,Bankura,23.646845,87.26565627
107183,WB_107183,SONAGARA,Mejhia,Bankura,23.51492761,87.15516293
107184,WB_107184,Chingani,Onda,Bankura,23.0666494,87.14576374
107185,WB_107185,Churamonipur,Onda,Bankura,23.00337624,87.07282716
107186,WB_107186,Kalyani,Onda,Bankura,23.15841463,87.03672584
107187,WB_107187,Kantabari,Onda,Bankura,23.05640947,87.27629683
107188,WB_107188,Lodna,Onda,Bankura,23.17097495,87.13401194
107189,WB_107189,Majdiha,Onda,Bankura,22.98637941,87.35141939
107190,WB_107190,Medinipur,Onda,Bankura,23.1058343,87.18732393
107191,WB_107191,Nakaijuri,Onda,Bankura,23.04907496,87.19746036
107192,WB_107192,Nikunjapur,Onda,Bankura,23.20651399,87.18842802
107193,WB_107193,BALSI-I,Patrasayer,Bankura,23.15309181,87.54735885
107194,WB_107194,BALSI-II,Patrasayer,Bankura,23.15691552,87.54320348
107195,WB_107195,BELUT-RASULPUR,Patrasayer,Bankura,23.2263041,87.58664534
107196,WB_107196,BIRSINGHA,Patrasayer,Bankura,23.20263492,87.45427465
107197,WB_107197,BIUR-BETUR,Patrasayer,Bankura,23.16575782,87.53005353
107198,WB_107198,HAMIRPUR,Patrasayer,Bankura,23.24877437,87.52525483
107199,WB_107199,JAMKURI,Patrasayer,Bankura,23.16083081,87.48689402
107200,WB_107200,KUSHADWIP,Patrasayer,Bankura,23.14584724,87.43404987
107201,WB_107201,DHANARA,Raipur,Bankura,22.73971247,86.98783283
107202,WB_107202,DHEKO,Raipur,Bankura,22.64771204,86.94211286
107203,WB_107203,DUNDAR,Raipur,Bankura,22.85625506,86.88575147
107204,WB_107204,FULKUSHMA,Raipur,Bankura,22.81879582,86.882687
107205,WB_107205,MANDALKULI,Raipur,Bankura,22.74285687,86.91373542
107206,WB_107206,MATGODA,Raipur,Bankura,22.77321047,86.89986689
107207,WB_107207,MELERA,Raipur,Bankura,22.68076828,86.88180583
107208,WB_107208,RAIPUR,Raipur,Bankura,22.80221078,86.94930743
107209,WB_107209,AMBIKANAGAR,Ranibandh,Bankura,22.94137771,86.76614955
107210,WB_107210,BARIKUL,Ranibandh,Bankura,22.7647782,86.79981222
107211,WB_107211,HALUDKANALI,Ranibandh,Bankura,22.85194502,86.79641106
107212,WB_107212,PUDDI,Ranibandh,Bankura,22.94610333,86.72474855
107213,WB_107213,RAJAKATA,Ranibandh,Bankura,22.87772919,86.81428103
107214,WB_107214,RANIBANDH,Ranibandh,Bankura,22.87066038,86.77696771
107215,WB_107215,ROUTARA,Ranibandh,Bankura,22.86206584,86.81109512
107216,WB_107216,RUDRA,Ranibandh,Bankura,22.90283664,86.73705657
107217,WB_107217,BAMUNTORE,Saltora,Bankura,23.38496173,87.01458135
107218,WB_107218,DHEKIA,Saltora,Bankura,23.54685649,87.00787925
107219,WB_107219,GOGRA,Saltora,Bankura,23.46103182,86.94693986
107220,WB_107220,KANURI,Saltora,Bankura,23.47877662,86.97251138
107221,WB_107221,PABRA,Saltora,Bankura,23.54046867,87.02923911
107222,WB_107222,SALMA,Saltora,Bankura,23.60315754,87.01879195
107223,WB_107223,SALTORA,Saltora,Bankura,23.52143718,86.93950837
107224,WB_107224,TILURI,Saltora,Bankura,23.56923572,86.9025823
107225,WB_107225,BIKRAMPUR,Sarenga,Bankura,22.89001054,87.06758307
107226,WB_107226,CHILTORE,Sarenga,Bankura,22.81191914,86.94792903
107227,WB_107227,GARGARIA,Sarenga,Bankura,22.7161237,87.01445696
107228,WB_107228,GOALBARI,Sarenga,Bankura,22.82477046,87.00506876
107229,WB_107229,NETURPUR,Sarenga,Bankura,22.85330968,86.9817463
107230,WB_107230,SARENGA,Sarenga,Bankura,22.89879025,87.00460802
107231,WB_107231,PURBA-NABASAN,Sarenga,Bankura,22.78633861,87.02465389
107232,WB_107232,RADHAMOHANPUR,Sarenga,Bankura,22.800129,86.99831162
107233,WB_107233,BIKRAMPUR,Simlapal,Bankura,22.89382447,87.07216501
107234,WB_107234,DUBRAJPUR,Simlapal,Bankura,22.86548898,87.11789527
107235,WB_107235,LAKSMISAGAR,Simlapal,Bankura,22.95665307,87.06515477
107236,WB_107236,MACHATORA,Simlapal,Bankura,22.95901121,87.02614808
107237,WB_107237,MANDALGRAM,Simlapal,Bankura,22.91996036,87.17284002
107238,WB_107238,PARSOLA,Simlapal,Bankura,22.93971833,87.04775594
107239,WB_107239,SIMLAPAL,Simlapal,Bankura,22.99793422,86.9196145
107240,WB_107240,TALDANGRA,Simlapal,Bankura,23.01655941,87.10660358
107241,WB_107241,DHANSIMLA,Sonamukhi,Bankura,23.25607516,87.46942238
107242,WB_107242,DHULAI,Sonamukhi,Bankura,23.36212499,87.41399941
107243,WB_107243,DIHIPARA,Sonamukhi,Bankura,23.3965252,87.41763816
107244,WB_107244,HAMIRHATI,Sonamukhi,Bankura,23.32756239,87.35260613
107245,WB_107245,KOCHDIHI,Sonamukhi,Bankura,23.29318543,87.36440408
107246,WB_107246,MANIKBAZAR,Sonamukhi,Bankura,23.21030572,87.39637418
107247,WB_107247,PANCHAL,Sonamukhi,Bankura,23.22228105,87.29337423
107248,WB_107248,PEARBERA,Sonamukhi,Bankura,23.37266691,87.34963978
107249,WB_107249,AMDANGRA,Taldangra,Bankura,22.95842029,87.26225872
107250,WB_107250,BIBARDA,Taldangra,Bankura,23.05206969,87.0262748
107251,WB_107251,FULMATI,Taldangra,Bankura,23.02137118,87.11945489
107252,WB_107252,HARMASRA,Taldangra,Bankura,23.02229008,86.99804069
107253,WB_107253,KHALAGRAM,Taldangra,Bankura,23.03135907,87.10297444
107254,WB_107254,PANCHMURA,Taldangra,Bankura,22.95697069,87.15576801
107255,WB_107255,SALTORA,Taldangra,Bankura,23.02184439,87.07729169
107256,WB_107256,SATMOULI,Taldangra,Bankura,23.008054,87.10367439
107257,WB_107257,ANDAL,Andal,Paschim Bardhaman,23.58570351,87.21489781
107258,WB_107258,DAKSHIN KHANDA,Andal,Paschim Bardhaman,23.61394714,87.22161463
107259,WB_107259,KAJORA,Andal,Paschim Bardhaman,23.61129329,87.19151227
107260,WB_107260,KHANDRA,Andal,Paschim Bardhaman,23.64083352,87.22591964
107261,WB_107261,MADANPUR,Andal,Paschim Bardhaman,23.57482642,87.16416311
107262,WB_107262,RAMPRASADPUR,Andal,Paschim Bardhaman,23.61076288,87.21521961
107263,WB_107263,SRIRAMPUR,Andal,Paschim Bardhaman,23.60982784,87.22920036
107264,WB_107264,UKHRA,Andal,Paschim Bardhaman,23.63460325,87.2498783
