date,panchayat_id,gp_code,panchayat_name,block_name,district_name,latitude,longitude,coarse_rain_mm,coarse_tmax_c,coarse_tmin_c,elevation_dem_m,slope_deg,aspect_sin,aspect_cos,terrain_roughness_m,relative_elevation_m,nearest_river,distance_to_river_m,sand_pct,clay_pct,silt_pct,soil_type,month,day_of_year,day_of_year_sin,day_of_year_cos,monsoon_phase,target_rain_binary,target_rain_mm,target_tmax_c,target_tmin_c
2024-10-30,WB_107001,107001,ALIPURDUAR_BLOCK_1_GP_1,ALIPURDUAR_BLOCK_1,Alipurduar,26.48126945,89.15314149,3.9,30.0,21.9,171.54,0.67,-0.949,0.3154,2.51,0.93,Torsa,23762.444944707964,44.1,27.69,28.21,non_sandy,10,304,-0.869233,0.494403,post_monsoon,1,4.43,29.87,21.79
2025-03-24,WB_107030,107030,ALIPURDUAR_BLOCK_3_GP_8,ALIPURDUAR_BLOCK_3,Alipurduar,26.60213056,89.38429528,0.0,29.9,14.4,172.74,0.68,-0.8467,0.5321,2.47,-0.34,Torsa,1442.881907134676,44.51,27.73,27.76,non_sandy,3,83,0.989794,0.142508,pre_monsoon,0,0.0,29.98,14.46
2025-01-11,WB_107048,107048,ALIPURDUAR_BLOCK_5_GP_4,ALIPURDUAR_BLOCK_5,Alipurduar,26.73669541,89.67227698,0.0,18.0,6.8,176.06,0.68,0.5115,-0.8593,2.5,0.63,Torsa,30948.589319285027,45.06,27.76,27.18,non_sandy,1,11,0.188099,0.98215,winter,0,0.0,18.15,6.92
2024-08-06,WB_107011,107011,ALIPURDUAR_BLOCK_1_GP_11,ALIPURDUAR_BLOCK_1,Alipurduar,26.50004111,89.12826103,20.4,30.1,25.6,170.51,0.68,-0.975,0.222,2.52,-0.1,Torsa,25699.499622837287,43.99,27.74,28.27,non_sandy,8,219,-0.585696,-0.810531,monsoon,1,23.52,30.19,25.67
2024-10-08,WB_107061,107061,ALIPURDUAR_BLOCK_6_GP_6,ALIPURDUAR_BLOCK_6,Alipurduar,26.81685361,89.75391426,4.8,22.9,17.7,176.32,0.69,0.4123,0.911,2.67,0.32,Torsa,37487.07941874557,45.13,27.85,27.02,non_sandy,10,282,-0.990397,0.13825,post_monsoon,1,4.75,23.08,17.84
2024-07-31,WB_107045,107045,ALIPURDUAR_BLOCK_5_GP_1,ALIPURDUAR_BLOCK_5,Alipurduar,26.74537629,89.65726574,15.0,26.2,19.5,176.23,0.67,-0.4268,-0.9044,2.44,0.8,Torsa,29313.945079047247,45.0,27.79,27.21,non_sandy,7,213,-0.499069,-0.866562,monsoon,1,14.59,26.34,19.61
2025-10-16,WB_107065,107065,ALIPURDUAR_BLOCK_6_GP_10,ALIPURDUAR_BLOCK_6,Alipurduar,26.82052524,89.8310458,1.6,25.0,16.2,176.71,0.69,-0.3111,0.9504,2.68,0.71,Torsa,45063.77541811384,45.34,27.8,26.86,non_sandy,10,289,-0.966618,0.256222,post_monsoon,1,1.6,24.9,16.12
2025-11-11,WB_107066,107066,ALIPURDUAR_BLOCK_6_GP_11,ALIPURDUAR_BLOCK_6,Alipurduar,26.83016838,89.74860516,0.4,20.5,13.9,176.48,0.69,0.063,0.998,2.67,0.48,Torsa,36799.48614810579,45.09,27.87,27.04,non_sandy,11,315,-0.76072,0.64908,post_monsoon,0,0.43,20.42,13.84
2024-02-24,WB_107047,107047,ALIPURDUAR_BLOCK_5_GP_3,ALIPURDUAR_BLOCK_5,Alipurduar,26.75531443,89.64216551,0.0,17.0,4.8,175.6,0.67,-0.9021,-0.4315,2.52,0.17,Torsa,27647.35070467831,44.94,27.82,27.24,non_sandy,2,55,0.81116,0.584824,winter,0,0.0,16.82,4.66
2025-04-04,WB_107046,107046,ALIPURDUAR_BLOCK_5_GP_2,ALIPURDUAR_BLOCK_5,Alipurduar,26.75263908,89.6793281,0.0,25.1,14.4,175.67,0.68,0.9833,0.1823,2.51,0.24,Torsa,31342.811479107946,45.05,27.79,27.16,non_sandy,4,94,0.998932,-0.046215,pre_monsoon,0,0.0,24.98,14.31
2024-08-02,WB_107005,107005,ALIPURDUAR_BLOCK_1_GP_5,ALIPURDUAR_BLOCK_1,Alipurduar,26.49203846,89.18812421,37.3,27.6,25.2,170.41,0.68,0.9355,0.3534,2.67,-0.2,Torsa,20092.88544235918,44.18,27.68,28.14,non_sandy,8,215,-0.528581,-0.848883,monsoon,1,33.36,27.78,25.34
2024-02-11,WB_107024,107024,ALIPURDUAR_BLOCK_3_GP_2,ALIPURDUAR_BLOCK_3,Alipurduar,26.62485086,89.40400353,0.0,25.0,9.0,173.77,0.67,-0.4704,-0.8825,2.44,0.69,Torsa,3820.3171022664064,44.52,27.76,27.72,non_sandy,2,42,0.661263,0.750154,winter,0,0.0,24.73,8.79
2024-02-15,WB_107047,107047,ALIPURDUAR_BLOCK_5_GP_3,ALIPURDUAR_BLOCK_5,Alipurduar,26.75531443,89.64216551,5.2,16.6,9.0,175.6,0.67,-0.9021,-0.4315,2.52,0.17,Torsa,27647.35070467831,44.94,27.82,27.24,non_sandy,2,46,0.711276,0.702913,winter,1,5.23,16.76,9.13
2024-08-22,WB_107041,107041,ALIPURDUAR_BLOCK_4_GP_8,ALIPURDUAR_BLOCK_4,Alipurduar,26.67870701,89.57575059,7.6,33.5,24.5,174.35,0.69,-0.9002,0.4355,2.64,1.0,Torsa,21708.785115406732,44.9,27.73,27.37,non_sandy,8,235,-0.783934,-0.620844,monsoon,1,6.54,33.3,24.34
2024-06-13,WB_107026,107026,ALIPURDUAR_BLOCK_3_GP_4,ALIPURDUAR_BLOCK_3,Alipurduar,26.62465503,89.43471603,46.1,27.7,24.6,173.08,0.68,0.9908,0.1356,2.59,-0.0,Torsa,6827.842207539972,44.61,27.74,27.65,non_sandy,6,165,0.298569,-0.954388,monsoon,1,41.9,27.67,24.58
2024-08-13,WB_107002,107002,ALIPURDUAR_BLOCK_1_GP_2,ALIPURDUAR_BLOCK_1,Alipurduar,26.48012961,89.17897989,14.0,31.3,25.9,170.84,0.68,0.9833,0.182,2.64,0.23,Torsa,21284.19640477241,44.17,27.67,28.16,non_sandy,8,226,-0.67882,-0.734304,monsoon,1,12.9,31.0,25.66
2025-11-18,WB_107004,107004,ALIPURDUAR_BLOCK_1_GP_4,ALIPURDUAR_BLOCK_1,Alipurduar,26.46953106,89.15556014,0.0,28.1,15.7,171.01,0.67,-0.3179,0.9481,2.54,0.4,Torsa,23827.625617836526,44.13,27.66,28.21,non_sandy,11,322,-0.67724,0.735762,post_monsoon,0,0.0,27.87,15.51
2025-08-17,WB_107014,107014,ALIPURDUAR_BLOCK_2_GP_3,ALIPURDUAR_BLOCK_2,Alipurduar,26.54454514,89.30770334,4.9,32.8,26.3,170.7,0.69,-0.8006,0.5992,2.67,-0.25,Torsa,7199.410975625481,44.41,27.69,27.9,non_sandy,8,229,-0.715795,-0.69831,monsoon,1,3.88,32.54,26.09
