feature,importance
day_of_year_sin,0.14268483
rain_lag_1,0.10453039
tmin_lag_2,0.08488916
tmax_lag_7,0.08390481
imerg_rain_mm,0.076727636
tmax_lag_1,0.06429957
tmax_lag_2,0.058409315
rain_lag_3,0.055596024
imd_rain_mm,0.052210253
day_of_year_cos,0.043135617
rain_3day_sum,0.040329922
tmin_lag_1,0.039453078
rain_7day_sum,0.03501206
rain_lag_2,0.03464324
rain_lag_7,0.03453893
elevation_dem_m,0.016379407
latitude,0.014233686
aspect_cos,0.00896025
relative_elevation_m,0.0021835295
longitude,0.0018322471
terrain_roughness_m,0.0016184321
aspect_sin,0.0012260729
slope_deg,0.0012025371
elevation,0.0011339274
distance_to_river_m,0.000865132
