feature,importance
day_of_year_sin,0.123542584
imerg_rain_mm,0.103353426
rain_lag_1,0.099862136
tmin_lag_2,0.09367084
tmax_lag_7,0.078830756
tmax_lag_1,0.06502987
tmax_lag_2,0.058030862
rain_lag_3,0.054936957
day_of_year_cos,0.05198136
imd_rain_mm,0.048419874
rain_lag_7,0.04572229
rain_3day_sum,0.038796138
tmin_lag_1,0.036696292
rain_lag_2,0.033774912
rain_7day_sum,0.028153064
latitude,0.010660892
longitude,0.010024512
aspect_cos,0.007341563
terrain_roughness_m,0.0039186617
aspect_sin,0.0026468872
distance_to_river_m,0.0014298129
elevation_dem_m,0.0012359458
slope_deg,0.0006631354
relative_elevation_m,0.00063923246
elevation,0.00063806423
